# sampling_rate=500
time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.05400,-0.004745,0.003376,0.000463,-0.010635,0.005219,0.021070,-0.001882,-0.000910,-0.009077,0.004741,-0.011046,-0.009862
0.05600,0.014114,-0.007539,0.011314,0.014519,0.003226,0.006483,0.020247,-0.000808,-0.004507,-0.011925,0.001893,0.016043
0.05800,0.010961,-0.007852,-0.008035,-0.005792,0.003578,-0.001071,0.002895,0.004168,-0.001514,0.001263,0.003594,0.000457
0.06000,0.006447,0.020332,0.006456,-0.000218,-0.016184,0.004896,-0.018690,-0.012848,0.010071,0.008785,0.000082,-0.015759
0.06200,-0.002255,-0.005110,0.006923,0.021775,0.002869,-0.006743,-0.010903,0.000723,-0.000193,-0.009736,0.002797,-0.010124
0.06400,0.012626,0.012358,0.011420,-0.005568,0.005868,-0.000237,-0.003060,-0.002067,-0.011371,-0.012602,0.009629,-0.000482
0.06600,0.003717,0.011802,-0.016741,-0.008695,0.002498,0.005039,-0.002917,0.011658,0.003780,-0.010240,-0.007569,0.009529
0.06800,0.006237,-0.017152,0.014085,0.005101,0.014201,-0.002686,-0.002078,-0.009857,0.027096,0.000196,0.017666,-0.004954
0.07000,0.003284,-0.014821,-0.003203,0.008932,-0.011727,0.011907,0.004278,-0.008991,-0.003238,-0.002583,0.001348,-0.003798
0.07200,-0.006580,-0.001099,-0.009626,-0.013826,0.000331,0.010048,-0.014363,0.001525,-0.004671,-0.007706,0.010430,-0.003573
0.07400,0.016723,-0.005798,0.004526,-0.003230,-0.006705,0.007129,-0.000593,0.007563,0.001406,-0.008736,0.000928,0.002172
0.07600,0.011371,-0.007008,0.000286,-0.018201,0.007372,-0.009529,-0.017081,0.000980,0.012986,-0.013065,-0.008880,-0.005736
0.07800,-0.009462,0.005903,-0.007377,-0.008223,0.006713,-0.006235,0.005336,-0.008101,-0.010141,-0.016118,0.020665,-0.001461
0.08000,0.004319,0.001852,0.002314,-0.000537,0.019985,-0.009036,-0.014541,-0.008465,-0.011317,0.009763,0.010309,-0.007827
0.08200,-0.011978,-0.001332,0.014643,-0.029255,0.006191,-0.009370,0.011463,-0.009084,-0.000773,-0.012712,-0.007615,0.015689
0.08400,0.010179,-0.001747,-0.007952,-0.020023,-0.002989,0.001112,0.000245,0.000799,-0.009087,0.001745,0.001824,0.014780
0.08600,0.020688,0.000953,-0.006895,-0.001761,-0.005107,-0.005970,0.000525,-0.008655,0.008243,0.001425,0.004763,0.000090
0.08800,-0.005206,-0.007103,-0.001587,-0.006624,0.003331,0.001444,-0.012486,0.002490,-0.011196,-0.003643,-0.000629,-0.018789
0.09000,0.003029,0.003940,-0.000777,-0.005406,-0.002722,-0.008244,-0.001535,-0.003666,0.003199,-0.009463,0.004723,0.003440
0.09200,0.000745,-0.001908,0.006344,-0.017834,0.005641,0.003986,0.004022,0.005734,-0.004203,0.000041,0.008790,0.006359
0.09400,0.004274,-0.012605,0.006217,0.010481,0.011156,0.003928,-0.014363,0.011367,0.000911,-0.022633,0.006244,-0.012825
0.09600,-0.010711,-0.003758,0.013582,-0.004948,0.003792,0.019102,0.017180,0.000949,0.000018,-0.009860,-0.004421,0.006394
0.09800,0.006257,0.003747,0.010822,-0.008989,0.000543,0.008968,0.007106,0.012733,0.006454,-0.000288,0.006198,-0.007841
0.10000,-0.014048,0.008505,0.000340,0.001794,-0.015851,-0.001962,-0.004708,-0.006577,-0.020016,-0.000486,0.011601,0.006039
0.10200,-0.003616,0.002603,0.008477,-0.028920,-0.000097,0.007155,0.008137,0.019113,0.013935,0.006045,0.005700,0.010143
0.10400,-0.002954,0.002404,0.009989,0.018233,-0.000422,0.001272,0.003327,0.015579,0.002332,0.017670,-0.006934,0.000457
0.10600,0.000504,0.010724,0.011397,-0.016462,-0.007958,0.005158,-0.005220,-0.013037,0.013070,0.007973,0.007716,-0.002393
0.10800,0.012822,0.000513,0.011927,-0.010510,-0.007326,0.003870,-0.005630,0.008983,0.005336,-0.006140,0.003565,-0.001107
0.11000,0.011737,-0.003360,-0.003412,0.010694,0.023624,0.021847,0.002051,0.004458,0.018120,0.001902,-0.006875,0.003619
0.11200,0.007141,-0.005272,-0.015465,-0.015811,0.007914,-0.005694,0.000030,0.004436,0.009027,-0.000146,0.007928,-0.006407
0.11400,-0.000945,-0.007172,0.012333,-0.001740,-0.006111,-0.001600,-0.000748,0.009356,-0.013071,-0.007113,-0.000789,0.027861
0.11600,0.012275,0.002011,0.008153,0.019079,-0.001033,-0.001707,0.013614,0.007334,0.009649,-0.001766,0.022286,0.019678
0.11800,0.008424,0.010022,-0.019222,0.004857,-0.000614,0.006329,0.008345,-0.000980,-0.013919,0.007051,-0.004318,-0.000676
0.12000,-0.003234,-0.000183,-0.022027,0.010624,0.003883,0.013138,0.021344,0.002699,-0.014989,-0.005510,-0.008921,-0.002349
0.12200,0.003653,-0.016736,0.004510,-0.016675,0.004345,0.000962,-0.001565,0.001784,-0.002312,-0.002639,-0.013628,0.002418
0.12400,0.021359,0.023144,0.014321,0.005461,-0.005371,0.016518,0.001036,0.001866,0.000223,0.004462,-0.001101,0.001920
0.12600,-0.007897,-0.000345,0.023926,-0.002318,-0.000971,0.007447,0.008703,-0.008542,0.001114,0.012781,0.006002,0.004022
0.12800,0.018536,-0.003333,0.001966,-0.006848,0.016341,-0.017362,-0.005054,-0.002655,0.009871,0.009717,0.017307,-0.012894
0.13000,0.010547,0.000565,-0.005500,0.003723,-0.007741,-0.018579,-0.002029,-0.012301,-0.003204,0.007427,0.006527,0.018759
0.13200,0.001091,-0.011782,-0.006388,-0.010892,-0.010696,0.006577,-0.004754,-0.017056,0.010304,0.002653,0.007027,0.003991
0.13400,0.009451,0.003984,0.013553,0.002526,0.005425,0.006355,-0.012843,0.001112,0.000792,0.005899,-0.010077,0.019319
0.13600,0.004224,-0.008456,-0.015880,-0.004562,0.000630,-0.004893,0.002670,-0.003613,0.008951,-0.003366,0.003177,0.012810
0.13800,0.028943,-0.006366,-0.003419,-0.010173,0.009392,-0.009158,-0.003069,0.002543,-0.006302,-0.005637,-0.001143,-0.017939
0.14000,-0.011182,-0.000367,0.002726,-0.003658,-0.016169,-0.002282,0.009784,0.008439,0.002747,-0.004881,0.009978,-0.002680
0.14200,-0.008373,-0.004204,0.015745,0.000376,0.013186,-0.002403,0.011207,-0.003094,0.002011,0.028913,0.011389,-0.001858
0.14400,0.002520,0.007135,0.013384,-0.006744,-0.015797,-0.000372,0.002006,0.004059,0.016804,0.007276,0.011901,-0.007812
0.14600,0.012098,0.024894,0.009028,0.000655,0.003181,0.020333,-0.007391,0.001898,0.008295,0.011612,-0.000544,0.006322
0.14800,0.000699,0.005204,0.000001,-0.013329,0.001458,0.011276,-0.007757,0.000650,0.010404,-0.006455,0.005722,-0.007297
0.15000,0.014898,0.027213,0.021572,-0.004145,0.009107,0.003767,0.002975,0.018603,-0.009356,0.014886,0.003488,0.017460
0.15200,0.005530,-0.002521,0.004161,0.005348,0.002113,0.007514,-0.003205,-0.018120,0.012950,0.011453,0.005578,0.004158
0.15400,0.014186,-0.000174,-0.005612,-0.003988,0.013726,-0.011118,0.014021,-0.003028,-0.006878,0.017265,0.003313,-0.009370
0.15600,0.000515,0.014028,0.013480,-0.006527,0.006032,0.010094,-0.004190,0.007160,0.004112,-0.000355,-0.000327,0.004568
0.15800,0.004880,-0.000387,-0.002519,0.008614,0.004337,0.012149,0.014538,0.009920,0.027656,-0.002664,0.013215,0.001171
0.16000,0.023955,0.023211,-0.017491,-0.012657,0.009234,0.011784,0.010334,0.004040,0.010380,0.013114,0.005266,0.015400
0.16200,-0.015843,0.014103,-0.007775,0.005873,0.000954,-0.004026,0.007453,-0.003171,-0.001835,-0.007435,0.007295,0.011383
0.16400,0.019159,0.008851,0.013871,-0.004731,0.003353,0.012164,0.015495,0.004443,0.007205,0.009285,0.010828,-0.000522
0.16600,0.022567,0.010126,0.009294,-0.015013,0.009486,0.012763,0.002551,0.031022,0.016981,0.032760,0.023353,0.005050
0.16800,0.013429,0.024200,0.007167,-0.008993,0.005418,-0.005664,0.007234,-0.007000,0.022349,0.013785,0.012167,0.014195
0.17000,0.026985,0.013577,-0.008268,-0.024003,-0.008773,0.007798,0.029251,0.010782,0.032713,0.015879,0.030161,0.019848
0.17200,0.033090,0.044429,0.030364,-0.016582,0.017414,0.014522,0.024362,0.027185,0.044703,0.040663,0.055139,0.012175
0.17400,0.042789,0.061433,0.013880,-0.033087,0.019303,0.019144,0.026355,0.064669,0.060865,0.044730,0.042512,0.039420
0.17600,0.070435,0.061235,0.016046,-0.024368,0.037634,0.039743,0.022037,0.037647,0.058232,0.051372,0.075136,0.051071
0.17800,0.081965,0.107409,0.041048,-0.053945,0.045726,0.067128,0.034970,0.058361,0.082228,0.078112,0.101118,0.049241
0.18000,0.084096,0.106743,0.033892,-0.050679,0.048393,0.066382,0.063709,0.062351,0.102776,0.108955,0.107909,0.092614
0.18200,0.104034,0.123716,0.050924,-0.058743,0.047511,0.101869,0.085326,0.084950,0.125223,0.163136,0.134570,0.109705
0.18400,0.127485,0.143589,0.047110,-0.076768,0.069641,0.089306,0.066850,0.101996,0.139435,0.149129,0.143306,0.133506
0.18600,0.146447,0.169253,0.057820,-0.077942,0.067265,0.099729,0.086125,0.114811,0.167618,0.174542,0.152435,0.130757
0.18800,0.144625,0.175707,0.050352,-0.071846,0.064853,0.086279,0.075957,0.113143,0.163108,0.195294,0.176040,0.130450
0.19000,0.146788,0.195359,0.061861,-0.084885,0.084678,0.135703,0.097892,0.137275,0.170310,0.194552,0.166813,0.136103
0.19200,0.152010,0.164736,0.056950,-0.082356,0.096123,0.100559,0.082099,0.131664,0.167977,0.195279,0.164759,0.135698
0.19400,0.126561,0.155151,0.059692,-0.078176,0.058470,0.099209,0.078947,0.130849,0.148472,0.171917,0.141940,0.124306
0.19600,0.146013,0.127430,0.045960,-0.069218,0.058578,0.085400,0.070799,0.114206,0.139402,0.139623,0.143942,0.114793
0.19800,0.108035,0.132809,0.049542,-0.053464,0.049522,0.090969,0.074169,0.111258,0.136491,0.137029,0.125393,0.116088
0.20000,0.081950,0.112051,0.031028,-0.056276,0.028480,0.059937,0.052383,0.093026,0.113164,0.115847,0.105196,0.082527
0.20200,0.081716,0.086871,0.035582,-0.025214,0.036969,0.040965,0.034123,0.053788,0.071937,0.107838,0.089283,0.058606
0.20400,0.067558,0.082778,0.019589,-0.040322,0.025917,0.046782,0.039962,0.065521,0.078028,0.086300,0.081963,0.064584
0.20600,0.031166,0.052137,0.020800,-0.029393,0.031421,0.029860,0.016304,0.055341,0.056853,0.058892,0.061319,0.054777
0.20800,0.037909,0.015097,0.006354,-0.023540,0.006717,0.026826,0.030896,0.025510,0.025911,0.062369,0.034124,0.020444
0.21000,0.027536,0.033190,0.002510,-0.005933,0.007203,0.008885,0.015623,0.029848,0.020833,0.034000,0.027243,0.052145
0.21200,0.011156,0.034820,0.006408,-0.011300,0.015973,0.022074,0.022703,0.019339,0.013697,0.016878,0.025527,0.023138
0.21400,0.027349,0.019558,0.015682,0.007815,0.008065,-0.005231,-0.004440,-0.002614,0.030353,0.007835,0.027291,0.018557
0.21600,0.027252,0.021645,0.002814,-0.007555,0.005699,0.009024,0.000247,0.008561,0.027001,-0.004700,0.013896,0.000525
0.21800,0.009883,0.017613,0.002469,0.003323,-0.012052,0.016839,-0.001624,0.013275,0.010478,-0.016080,0.001414,0.009817
0.22000,0.022287,0.010632,0.005141,-0.017838,0.017550,0.022929,0.003997,0.003740,-0.008903,0.017065,0.034580,0.013581
0.22200,0.018659,0.012346,-0.007562,0.010055,-0.009455,0.002229,0.006100,0.014128,0.010663,0.011215,-0.000870,-0.007173
0.22400,0.006248,-0.000624,-0.010937,-0.015758,-0.002197,-0.014470,-0.010377,-0.011394,0.007906,0.010952,0.026380,-0.009624
0.22600,-0.001352,0.015387,-0.000099,-0.006264,0.019705,0.000536,-0.008568,-0.008379,0.009236,0.009694,-0.007620,-0.004682
0.22800,0.010715,0.011946,-0.004392,0.003270,0.008295,-0.013966,-0.000168,0.008875,0.000066,-0.014841,0.003182,0.012620
0.23000,0.021156,-0.015753,0.028167,-0.014215,0.012139,0.016196,0.012774,0.006206,-0.005834,0.012796,-0.001158,-0.020142
0.23200,0.033657,0.013255,0.020221,-0.012069,0.017252,0.019764,0.018498,0.004512,-0.006227,0.004776,-0.016015,-0.011920
0.23400,0.006319,-0.003704,0.000407,-0.004060,0.021899,0.016864,0.002521,0.016841,-0.001966,0.003218,0.015150,-0.007287
0.23600,0.002648,-0.006955,0.003241,0.013334,-0.004911,0.006174,-0.005982,-0.006710,-0.006486,0.021182,0.029715,0.009996
0.23800,-0.001683,0.013350,-0.001261,0.005000,0.005540,0.006742,0.009086,-0.000973,0.001874,-0.010527,0.001718,-0.009018
0.24000,0.004076,-0.003226,0.003111,0.001495,-0.011550,-0.004157,-0.006396,0.012325,0.023028,0.015253,0.002691,0.019896
0.24200,-0.009575,0.021394,-0.004447,-0.030864,0.029180,0.019788,-0.007258,0.006588,0.003866,0.007813,-0.008599,-0.001527
0.24400,0.010289,0.008678,0.014124,-0.002288,0.026185,-0.003119,0.005679,-0.014227,-0.006473,0.020129,-0.003145,0.010636
0.24600,0.005035,-0.003944,-0.001334,-0.008252,-0.002160,0.011606,0.009633,-0.000800,-0.002966,0.009720,0.005331,0.015653
0.24800,0.032250,0.014980,0.001817,-0.004854,-0.005833,-0.004965,-0.006901,0.001060,0.001881,0.014387,0.002390,0.003437
0.25000,-0.006442,0.023047,0.007251,0.014732,0.010724,0.019029,0.000672,0.012223,0.033255,-0.005232,0.018192,0.022433
0.25200,0.009995,0.014303,0.014994,-0.009884,0.006950,-0.004716,-0.003731,-0.001226,0.004784,0.008554,0.011108,-0.009015
0.25400,0.026095,0.018537,0.009650,-0.006870,0.001884,0.009807,0.007419,-0.012083,0.013886,0.036992,-0.012406,0.015733
0.25600,0.009656,0.005607,0.016301,-0.015365,0.004489,0.019246,0.001208,0.000874,0.007520,0.002595,0.022467,-0.003741
0.25800,0.014883,-0.006066,0.009123,-0.004331,-0.023713,0.004197,-0.007715,0.000636,0.022203,-0.004271,-0.004276,0.020427
0.26000,0.007149,0.022698,0.005590,-0.012347,0.002178,0.016930,0.012952,0.005251,0.006935,0.006111,0.000725,0.025518
0.26200,0.006074,-0.004729,-0.002624,0.004168,0.009476,0.002910,-0.003572,0.005526,-0.010726,-0.006064,0.014934,0.000773
0.26400,0.009898,0.019476,0.008976,-0.003112,0.024781,0.011216,-0.000321,0.012845,0.010721,-0.001427,0.007519,0.004045
0.26600,-0.014129,0.005227,-0.000598,-0.007854,-0.013989,0.000736,0.002940,0.006404,-0.005100,0.013928,-0.005680,0.003482
0.26800,0.019546,-0.000068,-0.002921,0.007662,-0.001005,0.001361,0.005645,0.016178,-0.016026,-0.001033,-0.003484,-0.005321
0.27000,-0.002605,-0.001517,0.005438,-0.012516,0.004219,0.008559,-0.004086,0.006771,0.023442,0.010831,0.000384,0.005199
0.27200,-0.003164,0.009919,0.011186,-0.011798,0.000844,0.015848,-0.001666,0.007391,-0.003748,-0.000785,0.001727,0.027668
0.27400,0.002168,0.001898,-0.003254,-0.005098,0.009563,0.006401,0.024020,0.007645,0.021233,0.010402,0.013065,-0.008490
0.27600,0.005031,0.006557,-0.000035,-0.024994,0.011831,0.000665,-0.000915,0.002993,0.004525,0.011759,-0.005653,-0.003324
0.27800,0.009250,0.008751,-0.001356,-0.009228,-0.005299,0.003984,0.015297,-0.004998,0.022085,0.016180,0.002576,0.013858
0.28000,-0.008272,-0.009971,-0.010471,-0.007610,-0.000188,-0.000553,0.004507,-0.015731,0.011851,-0.006401,0.000545,0.001939
0.28200,-0.005133,-0.006316,-0.007618,-0.003655,0.008986,0.010271,-0.006409,-0.002258,-0.002262,0.012342,-0.013173,0.018491
0.28400,0.001624,-0.000393,0.005854,0.006767,0.006532,0.015187,0.004903,0.017992,0.019441,0.006901,0.021641,0.007796
0.28600,0.007383,-0.001723,-0.000412,0.004193,-0.010000,0.011187,0.007069,0.008508,-0.015029,0.006915,0.013779,-0.001441
0.28800,0.007460,-0.016240,0.009205,-0.010231,0.011861,-0.013707,0.010529,0.003401,0.015157,-0.001258,0.001159,0.028653
0.29000,-0.001700,0.000529,-0.000258,-0.013855,0.015072,0.022001,-0.003412,-0.011453,0.018847,0.019135,0.015608,0.017834
0.29200,-0.002034,0.005953,-0.011317,-0.017834,0.012999,-0.001937,0.026448,0.006586,0.000768,0.016081,0.025451,0.011171
0.29400,-0.005488,0.011396,0.016296,-0.008608,-0.004528,0.014977,0.005076,-0.005144,0.003421,0.000597,0.010448,0.007446
0.29600,0.018230,0.014831,-0.013080,0.000371,0.012198,0.009401,0.014000,0.000423,-0.002244,0.017506,-0.003122,-0.015206
0.29800,0.017021,0.000541,-0.000489,-0.017702,-0.010007,-0.006693,0.000116,0.009656,-0.015669,0.015779,-0.004240,-0.004234
0.30000,0.013589,0.007085,-0.012776,0.014700,-0.005337,0.007376,0.005744,0.020106,0.002798,0.018389,0.000208,0.017691
0.30200,-0.000777,0.004259,0.021564,-0.000599,0.004387,0.027354,0.007383,-0.002131,0.014747,-0.003456,0.018958,0.018570
0.30400,0.001167,0.001652,0.004386,-0.003652,-0.006467,0.010646,-0.016626,0.001740,0.003409,0.005681,0.010796,-0.005728
0.30600,0.012829,0.006184,-0.003863,-0.017488,-0.008498,0.008603,-0.005819,0.006753,0.018120,0.018798,0.023382,0.003634
0.30800,-0.003849,0.018258,0.005757,0.007388,0.003472,0.016998,0.012315,0.013326,0.012598,0.012520,0.010173,0.008911
0.31000,0.016990,0.003032,0.020050,-0.004961,0.013256,0.004201,0.001432,0.026560,0.004562,-0.004124,0.000798,0.003562
0.31200,0.028794,0.010396,0.012099,-0.013999,0.007002,0.011929,0.021999,-0.000590,0.013856,0.011861,-0.002106,0.006686
0.31400,0.004920,-0.014565,0.008858,0.001247,-0.000763,-0.007946,0.018954,0.009308,0.018326,0.023320,0.003253,0.015299
0.31600,0.005807,0.008826,0.002267,-0.004533,0.015084,0.007155,0.002983,0.004467,0.012289,0.001078,0.004178,0.007285
0.31800,0.003954,0.009870,-0.002455,0.014753,0.017905,0.011421,0.004751,0.030367,0.013611,0.010859,0.013797,0.012191
0.32000,0.026549,0.014123,0.025722,-0.015665,0.012914,-0.001058,0.025016,0.007646,0.012859,0.024426,0.026492,0.000704
0.32200,0.014486,0.006690,0.008193,-0.010885,0.005125,0.006078,0.006012,0.008330,0.024673,0.037055,0.000794,0.015890
0.32400,0.023928,0.037250,0.001164,-0.016925,0.003097,0.027206,0.016453,0.023122,0.034061,0.031830,0.015945,0.032662
0.32600,0.048796,0.051259,0.027296,-0.013067,0.011116,0.025247,0.040725,0.054592,0.042202,0.044207,0.045047,0.038636
0.32800,0.059598,0.087066,0.015865,-0.053595,0.045371,0.047484,0.040776,0.072677,0.089605,0.088664,0.084932,0.063412
0.33000,0.139193,0.146477,0.035221,-0.066905,0.065561,0.092432,0.085237,0.120836,0.126064,0.147606,0.123510,0.118128
0.33200,0.191684,0.245735,0.073242,-0.125528,0.084563,0.138049,0.092035,0.158681,0.201731,0.235430,0.211341,0.171773
0.33400,0.293384,0.322937,0.103500,-0.170826,0.129183,0.212083,0.140853,0.250535,0.315525,0.344548,0.322166,0.260064
0.33600,0.423265,0.482697,0.158217,-0.243140,0.186418,0.305084,0.242720,0.363909,0.455448,0.494320,0.457488,0.389665
0.33800,0.566810,0.631677,0.223187,-0.296193,0.258550,0.391503,0.312924,0.488526,0.583877,0.694432,0.631644,0.529683
0.34000,0.756934,0.847558,0.272069,-0.403678,0.342783,0.522158,0.408553,0.641961,0.790153,0.914364,0.832691,0.707037
0.34200,0.922303,1.059409,0.363032,-0.504554,0.458722,0.650737,0.501808,0.793187,0.986939,1.123943,1.041569,0.864531
0.34400,1.088624,1.248265,0.406271,-0.610608,0.523121,0.766451,0.599820,0.958152,1.169080,1.317948,1.205357,1.052856
0.34600,1.217113,1.430690,0.473604,-0.680433,0.579085,0.896409,0.694090,1.073529,1.325988,1.511766,1.381555,1.189006
0.34800,1.318691,1.528474,0.490760,-0.707457,0.628405,0.931483,0.727158,1.164071,1.449500,1.612371,1.483193,1.264107
0.35000,1.372852,1.559905,0.526051,-0.741163,0.648392,0.977808,0.746631,1.184990,1.477685,1.641670,1.531539,1.298684
0.35200,1.322563,1.514363,0.500663,-0.723193,0.642707,0.955784,0.737843,1.159100,1.431718,1.598978,1.489949,1.258850
0.35400,1.224361,1.424409,0.473751,-0.703848,0.590087,0.869982,0.686351,1.105985,1.321612,1.499536,1.373428,1.170599
0.35600,1.091429,1.260603,0.402419,-0.581024,0.511477,0.783959,0.608327,0.961917,1.162396,1.316660,1.210558,1.030222
0.35800,0.922599,1.034881,0.350896,-0.495022,0.442925,0.660677,0.516305,0.806672,0.992590,1.117214,1.038397,0.846575
0.36000,0.739398,0.832954,0.273292,-0.409312,0.330070,0.519317,0.392745,0.644330,0.769981,0.900741,0.816486,0.687769
0.36200,0.541532,0.623048,0.197177,-0.307188,0.263401,0.393237,0.287599,0.480132,0.583584,0.670922,0.633107,0.527445
0.36400,0.386571,0.431909,0.133940,-0.231203,0.194317,0.272935,0.214962,0.336718,0.421790,0.489454,0.429617,0.366808
0.36600,0.248328,0.303596,0.087172,-0.152345,0.109191,0.170517,0.145724,0.251316,0.266949,0.322313,0.289669,0.232552
0.36800,0.147166,0.170093,0.050067,-0.063157,0.052906,0.111762,0.085778,0.126144,0.163422,0.191694,0.169452,0.146609
0.37000,0.074612,0.057514,0.040503,-0.014442,0.042296,0.058868,0.023143,0.058376,0.064977,0.076701,0.085475,0.056259
0.37200,0.003618,-0.013429,0.000285,-0.001805,-0.004687,-0.003657,0.021569,-0.007769,-0.005194,-0.002089,0.017497,0.025688
0.37400,-0.040221,-0.057248,-0.020824,0.034597,-0.030011,-0.016822,-0.009783,-0.037616,-0.040565,-0.045625,-0.033226,-0.051880
0.37600,-0.070398,-0.098294,-0.038917,0.046242,-0.041604,-0.069066,-0.061189,-0.081766,-0.074263,-0.080670,-0.085574,-0.066240
0.37800,-0.119497,-0.132250,-0.040617,0.052068,-0.064777,-0.081345,-0.066084,-0.111245,-0.119610,-0.142114,-0.117835,-0.108664
0.38000,-0.144772,-0.161758,-0.055592,0.071293,-0.072069,-0.094580,-0.071508,-0.111895,-0.170041,-0.176889,-0.162927,-0.132963
0.38200,-0.169734,-0.195126,-0.054951,0.092648,-0.090966,-0.105608,-0.080899,-0.151127,-0.170117,-0.208911,-0.173781,-0.159130
0.38400,-0.192532,-0.215910,-0.077770,0.103398,-0.086810,-0.132484,-0.107043,-0.198974,-0.198335,-0.244056,-0.204202,-0.163970
0.38600,-0.196297,-0.232785,-0.077432,0.108139,-0.101029,-0.149143,-0.118708,-0.163270,-0.215114,-0.233261,-0.225420,-0.188362
0.38800,-0.209811,-0.234695,-0.070815,0.116856,-0.106630,-0.157637,-0.097868,-0.185935,-0.227667,-0.239241,-0.222202,-0.192364
0.39000,-0.215192,-0.219346,-0.076326,0.121629,-0.103086,-0.166206,-0.129507,-0.181785,-0.224176,-0.260062,-0.248259,-0.215055
0.39200,-0.211427,-0.253932,-0.070107,0.126008,-0.071621,-0.141084,-0.120410,-0.191887,-0.259318,-0.259890,-0.234896,-0.188063
0.39400,-0.193132,-0.223251,-0.073578,0.116195,-0.081163,-0.154107,-0.114159,-0.189223,-0.199001,-0.230114,-0.215635,-0.201271
0.39600,-0.183495,-0.215355,-0.069577,0.099992,-0.083708,-0.137310,-0.093328,-0.160584,-0.202973,-0.227093,-0.211858,-0.167825
0.39800,-0.169882,-0.189294,-0.067448,0.077091,-0.071179,-0.130942,-0.085151,-0.142906,-0.197101,-0.213391,-0.192369,-0.167016
